"PERMIT_NO","APPLIED_DATE","APPROVED_DATE","ISSUED_DATE","FINALED_DATE","EXPIRED_DATE","PARENT_PROJECT_NO","PARENT_PERMIT_NO","PermitType","PermitSubType","STATUS","ZONING_CODE1","ZONING_CODE2","SITE_SUBDIVISION","SITE_DESCRIPTION","SITE_APN","SITE_ADDR","SITE_UNIT_NO","SITE_CITY","SITE_ZIP","DESCRIPTION","NOTES","JOBVALUE","FEES_CHARGED","FEES_PAID","CONTRACTOR_NAME","LONGITUDE","LATITUDE"
"TCP20-0983","2020-11-13 00:00:00","2020-11-13 00:00:00","2020-11-13 00:00:00","","2020-11-20 00:00:00","","","TRAFFIC CONTROL","LANE CLOSURE","EXPIRED","","","","","09-12-02-209-016","2395 S HURON PKWY","","Ann Arbor","48104","ASPHALT REPAIRS. 2395 HURON PARKWAY #634333","Contractor will use advanced warning signs, arrow boards, cones and flaggers to maintain vehicle two way vehicle .traffic and lane changes

(11/13/2020 11:41 AM BN)
No Fees- City Project-STREET CUT MISC. REPAIR Kirk Pennington

(11/17/2020 11:32 AM MB)
JE 2021-3981","0","38.75","38.75","CB ASPHALT MAINTENANCE","-83.69904","42.25276"
"TCP20-0984","2020-11-13 00:00:00","2020-11-17 00:00:00","2020-11-17 00:00:00","","2020-12-07 00:00:00","","ROW20-1317","TRAFFIC CONTROL","LANE CLOSURE","EXPIRED","","","TAPPAN PARK","","09-09-33-219-031","802 ARCH ST","","Ann Arbor","48104","Sanitary sewer inspection, Residential Street","(11/16/2020 2:07 PM BN)
NO FEES CITY PROJECT- 2020 Sewer Televising and Cleaning- RON HOEFT

(11/17/2020 11:31 AM MB)
JE 2021-3981","1","38.75","38.75","TAPLIN ENTERPRISES, LLC","-83.73881","42.26937"
"TCP20-0985","2020-11-13 00:00:00","2020-11-17 00:00:00","2020-11-17 00:00:00","","2020-12-07 00:00:00","","ROW20-1317","TRAFFIC CONTROL","LANE CLOSURE","EXPIRED","","","E.H. WAPLES FIRST","","09-09-33-219-003","907 GREENWOOD AVE","","Ann Arbor","48104","Sanitary sewer inspection, Residential Street","(11/16/2020 2:11 PM BN)
NO FEES CITY PROJECT- 2020 Sewer Televising and Cleaning- RON HOEFT

(11/17/2020 11:32 AM MB)
JE 2021-3981","1","38.75","38.75","TAPLIN ENTERPRISES, LLC","-83.73833","42.26926"
"TCP20-0986","2020-11-13 00:00:00","2020-11-17 00:00:00","2020-11-17 00:00:00","","2020-12-07 00:00:00","","ROW20-1317","TRAFFIC CONTROL","LANE CLOSURE","EXPIRED","","","VAUGHN ADDITION","","09-09-33-221-020","910 VAUGHN ST","","Ann Arbor","48104","Sanitary sewer inspection, Residential Street","(11/16/2020 2:10 PM BN)
NO FEES CITY PROJECT- 2020 Sewer Televising and Cleaning- RON HOEFT

(11/17/2020 11:30 AM MB)
JE 2021-3981","1","38.75","38.75","TAPLIN ENTERPRISES, LLC","-83.73767","42.26863"
"TCP20-0987","2020-11-13 00:00:00","2020-11-17 00:00:00","2020-11-17 00:00:00","","2020-12-07 00:00:00","","ROW20-1317","TRAFFIC CONTROL","LANE CLOSURE","EXPIRED","","","OLIVIA B. HALL SUB","","09-09-33-224-014","934 OLIVIA AVE","","Ann Arbor","48104-3535","Sanitary sewer inspection, Residential Street","(11/16/2020 2:10 PM BN)
NO FEES CITY PROJECT- 2020 Sewer Televising and Cleaning- RON HOEFT

(11/17/2020 11:30 AM MB)
JE 2021-3981","1","38.75","38.75","TAPLIN ENTERPRISES, LLC","-83.73203","42.2704"
"TCP20-0988","2020-11-13 00:00:00","2020-11-17 00:00:00","2020-11-17 00:00:00","","2020-12-07 00:00:00","","ROW20-1317","TRAFFIC CONTROL","LANE CLOSURE","EXPIRED","","","JUDSON'S FIRST ADD","","09-09-33-222-007","1027 E UNIVERSITY AVE","","Ann Arbor","48103","Sanitary sewer inspection, Residential Street","(11/16/2020 2:09 PM BN)
NO FEES CITY PROJECT- 2020 Sewer Televising and Cleaning- RON HOEFT

(11/17/2020 11:30 AM MB)
JE 2021-3981","1","38.75","38.75","TAPLIN ENTERPRISES, LLC","-83.73537","42.26891"
"TCP20-0989","2020-11-13 00:00:00","2020-11-17 00:00:00","2020-11-17 00:00:00","","2020-12-07 00:00:00","","ROW20-1317","TRAFFIC CONTROL","LANE CLOSURE","EXPIRED","","","JUDSON'S FIRST ADD","","09-09-33-222-013","1030 CHURCH ST","","Ann Arbor","48104","Sanitary sewer inspection, Residential Street","(11/16/2020 2:09 PM BN)
NO FEES CITY PROJECT- 2020 Sewer Televising and Cleaning- RON HOEFT

(11/17/2020 11:30 AM MB)
JE 2021-3981","1","38.75","38.75","TAPLIN ENTERPRISES, LLC","-83.73475","42.26869"
"TCP20-0990","2020-11-13 00:00:00","2020-11-17 00:00:00","2020-11-17 00:00:00","","2020-11-23 00:00:00","","ROW20-1317","TRAFFIC CONTROL","LANE CLOSURE","EXPIRED","","","MILLER'S ADDITION.","","09-09-33-234-013","1108 PROSPECT ST","","Ann Arbor","48104","Sanitary sewer inspection, Residential Street","(11/16/2020 2:09 PM BN)
NO FEES CITY PROJECT- 2020 Sewer Televising and Cleaning- RON HOEFT

(11/17/2020 11:31 AM MB)
JE 2021-3981","1","38.75","38.75","TAPLIN ENTERPRISES, LLC","-83.7352","42.26829"
"TCP20-0991","2020-11-13 00:00:00","2020-11-17 00:00:00","2020-11-17 00:00:00","","2020-11-23 00:00:00","","ROW20-1317","TRAFFIC CONTROL","LANE CLOSURE","EXPIRED","","","MILLER'S ADDITION.","","09-09-33-233-035","1109 WELLS ST","","Ann Arbor","48104","Sanitary sewer inspection, Residential Street","(11/16/2020 2:09 PM BN)
NO FEES CITY PROJECT- 2020 Sewer Televising and Cleaning- RON HOEFT

(11/17/2020 11:31 AM MB)
JE 2021-3981","1","38.75","38.75","TAPLIN ENTERPRISES, LLC","-83.73485","42.26606"
"TCP20-0992","2020-11-13 00:00:00","2020-11-17 00:00:00","2020-11-17 00:00:00","","2020-11-23 00:00:00","","ROW20-1317","TRAFFIC CONTROL","LANE CLOSURE","EXPIRED","","","EBERBACH'S ADDITIO","","09-09-33-231-011","1114 WOODLAWN AVE","","Ann Arbor","48104","Sanitary sewer inspection, Residential Street","(11/16/2020 2:08 PM BN)
NO FEES CITY PROJECT- 2020 Sewer Televising and Cleaning- RON HOEFT

(11/17/2020 11:31 AM MB)
JE 2021-3981","1","38.75","38.75","TAPLIN ENTERPRISES, LLC","-83.73371","42.26518"
"TCP20-0993","2020-11-13 00:00:00","2020-11-17 00:00:00","2020-11-17 00:00:00","","2020-12-07 00:00:00","","ROW20-1317","TRAFFIC CONTROL","LANE CLOSURE","EXPIRED","","","MILLER'S ADDITION.","","09-09-33-234-019","1009 MICHIGAN AVE","","Ann Arbor","48104","Sanitary sewer inspection, Residential Street","(11/16/2020 2:08 PM BN)
NO FEES CITY PROJECT- 2020 Sewer Televising and Cleaning- RON HOEFT

(11/17/2020 11:31 AM MB)
JE 2021-3981","1","38.75","38.75","TAPLIN ENTERPRISES, LLC","-83.73568","42.26817"
"MECH20-2778","2020-11-13 00:00:00","2020-11-17 00:00:00","2020-11-17 00:00:00","","2021-05-16 00:00:00","","","MECHANICAL","MECHANICAL","ISSUED","R1B","","CORNELIUS W. TUOMY","","09-09-34-308-023","2485 ADARE RD","","Ann Arbor","48104","FURNACE, AC, AND HUMIDIFIER REPLACEMENT","","0","165","165","Thornton & Grooms Inc","-83.71294","42.26257"
"MECH20-2779","2020-11-13 00:00:00","2020-11-17 00:00:00","2020-11-17 00:00:00","","2021-08-09 00:00:00","","","MECHANICAL","MECHANICAL","ISSUED","R1B","","","","09-09-27-316-005","2660 APPLE WAY","","Ann Arbor","48104","INSTALL (2) PREFAB FIREPLACES","","0","185","185","Fireclass LLC","",""
"MECH20-2780","2020-11-13 00:00:00","2020-11-16 00:00:00","2020-11-16 00:00:00","","2021-06-05 00:00:00","","","MECHANICAL","MECHANICAL","ISSUED","R1C","","DEVON SUBDIVISION","","09-09-19-410-043","1139 WENDY RD","","Ann Arbor","48103","INSTALL MITSUBISHI DUCTLESS HEAT PUMP","","0","155","155","CMR MECHANICAL LLC","-83.762","42.28959"
"MECH20-2781","2020-11-13 00:00:00","2020-11-16 00:00:00","2020-11-16 00:00:00","2020-11-30 00:00:00","","","","MECHANICAL","MECHANICAL","FINALED","R1C","","EBER WHITE FIRST A","","09-09-30-412-003","700 MT VERNON AVE","","Ann Arbor","48103","REPLACE FURNACE","","0","100","100","CMR MECHANICAL LLC","-83.76208","42.2733"
"MECH20-2789","2020-11-13 00:00:00","2020-11-13 00:00:00","2020-11-13 00:00:00","2020-12-14 00:00:00","","","","MECHANICAL","MECHANICAL","FINALED","R2A","","GRAND VIEW","","09-09-30-117-008","1714 JACKSON AVE","","Ann Arbor","48103","Remove and Replace gas line to dryer","","0","65","65","Elford's Heating & Cooling LLC","-83.76858","42.28188"
"ELEC20-3075","2020-11-13 00:00:00","2020-11-13 00:00:00","2020-11-13 00:00:00","","2021-05-18 00:00:00","","","ELECTRICAL","ELECTRICAL","ISSUED","R1B","","VINEWOOD","","09-09-34-212-032","2302 VINEWOOD BLVD","","Ann Arbor","48104","Wiring of New Kitchen","","0","155","155","Jaco Electric","-83.7151","42.27124"
"ELEC20-3076","2020-11-13 00:00:00","2020-11-16 00:00:00","2020-11-16 00:00:00","","2021-05-15 00:00:00","","","ELECTRICAL","ELECTRICAL","ISSUED","O","","BOULEVARD HEIGHTS","","09-09-30-211-001","2311 SHELBY AVE","","Ann Arbor","48103","REPLACE FURNACE & AC","","0","100","100","CMR MECHANICAL LLC","-83.77862","42.27844"
"ELEC20-3078","2020-11-13 00:00:00","2021-02-08 00:00:00","2021-02-08 00:00:00","","2021-08-07 00:00:00","","","ELECTRICAL","SOLAR","ISSUED","R1B","","","","09-09-26-203-040","628 GREEN RD","","Ann Arbor","48105","Install Solar panel","","0","0","0","Oak Electric Service Inc","-83.69385","42.28237"
"ELEC20-3079","2020-11-13 00:00:00","2020-11-13 00:00:00","2020-11-13 00:00:00","2020-12-15 00:00:00","","","MECH20-2788","ELECTRICAL","ELECTRICAL","FINALED","","","","","09-09-30-317-009","821 DARTMOOR RD","","Ann Arbor","48103","Replace Gas Furnace","","0","75","75","Indoor Comfort Co","-83.77358","42.27241"
"MECH20-2787","2020-11-13 00:00:00","2020-11-13 00:00:00","2020-11-13 00:00:00","2021-02-03 00:00:00","","","","MECHANICAL","MECHANICAL","FINALED","R1A","","ASSESSOR'S PLAT NO","","09-09-34-108-012","925 ABERDEEN DR","","Ann Arbor","48104","Relocate bath floor heat to toe kick","","0","125","125","Cappy Heating & A/C, Inc","-83.70606","42.27027"
"MECH20-2788","2020-11-13 00:00:00","2020-11-13 00:00:00","2020-11-13 00:00:00","2020-12-17 00:00:00","","","","MECHANICAL","MECHANICAL","FINALED","R1C","","","","09-09-30-317-009","821 DARTMOOR RD","","Ann Arbor","48103","Replace Gas Furnace and Humidifier","","0","110","110","Indoor Comfort Co","-83.77358","42.27241"
"MECH20-2790","2020-11-13 00:00:00","2020-11-25 00:00:00","2020-11-25 00:00:00","","2021-05-24 00:00:00","","","MECHANICAL","MECHANICAL","ISSUED","R4B","","","","09-12-08-200-016","666 WAYMARKET DR","","Ann Arbor","48103","A/C Reconnect","(11/13/2020 3:12 PM SKOK)
on hold for registration","0","90","90","Tech IV Heating & Cooling Inc","-83.75572","42.24341"
"MECH20-2791","2020-11-13 00:00:00","2020-11-25 00:00:00","2020-11-25 00:00:00","","2021-05-24 00:00:00","","","MECHANICAL","MECHANICAL","ISSUED","R4B","","","","09-12-08-200-016","654 WAYMARKET DR","","Ann Arbor","48103","A/c Reconnect","(11/13/2020 3:13 PM SKOK)
on hold for registration","0","90","90","Tech IV Heating & Cooling Inc","-83.75572","42.24341"
"BLDG20-2126","2020-11-13 00:00:00","2020-11-20 00:00:00","2020-11-20 00:00:00","2020-12-01 00:00:00","","","","BUILDING","RES OTC","FINALED","R1A","","MINGLEWOOD SUBDIVI","","09-09-20-201-010","915 SUNSET RD","","Ann Arbor","48103","Replace (2) patio doors - SAME FOR SAME","(11/13/2020 10:24 AM JHY)
emailed for correct signature, once rcvd, permit can be issued.

(11/20/2020 1:29 PM JHY)
signature rcvd, permit issued","9700","255","255","Adkins Kyle Wesley","-83.76078","42.29689"
"BLDG20-2127","2020-11-13 00:00:00","2020-11-29 00:00:00","2020-11-29 00:00:00","2021-01-26 00:00:00","","","","BUILDING","RES ADD/ALTER","FINALED","R1C","","ANN ARBOR WOODS NO","","09-12-03-307-031","2815 COLONY RD","","Ann Arbor","48104","Basement - frame and drywall offices","(11/13/2020 11:50 AM JHY)
emaild for payment and CORRECT SIGNATURE

(11/29/2020 2:52 PM JHY)
payment and correct signature rcvd. permit issued","10000","279","279","Forward Group, Inc. (The)","-83.71414","42.24665"
"BLDG20-2128","2020-11-13 00:00:00","","","","","","","BUILDING","RES NEW BUILD","UNDER REVIEW","R1A","","","","09-09-33-117-010","1909 NORWAY RD","","Ann Arbor","48104","Construct single family home - 6300sf","","1575000","14378","83","","",""
"BLDG20-2130","2020-11-13 00:00:00","2020-11-30 00:00:00","2020-12-14 00:00:00","2021-01-21 00:00:00","","","","BUILDING","RES ADD/ALTER","FINALED","R1C","","HURON HIGHLANDS","","09-09-16-310-004","2229 HILLDALE DR","","Ann Arbor","48105","EPDM re-roof","(11/30/2020 2:21 PM JHY)
emailed for payment, once rcvd, permit can be issued","27000","527","527","Neighborhood Roofing, Inc.","-83.74125","42.30532"
"BLDG20-2131","2020-11-13 00:00:00","2021-02-02 00:00:00","2021-02-02 00:00:00","","2021-08-01 00:00:00","","","BUILDING","RES ADD/ALTER","ISSUED","R4C","","ANN ARBOR LAND COM","","09-09-29-427-003","319 E JEFFERSON ST","","Ann Arbor","48104","Reconfigure 3rd fl. Unit B - bedrooms, egress windows","(11/16/2020 9:59 AM MCFR)
Hold for zoning approval. See zoning review notes.

(2/2/2021 11:18 AM JHY)
emailed approval - permit issued","5000","219","219","Campus Building Services","-83.74542","42.27646"
"BLDG20-2133","2020-11-13 00:00:00","2020-11-22 00:00:00","2020-11-22 00:00:00","","2021-05-21 00:00:00","","","BUILDING","RES ADD/ALTER","ISSUED","R1D","","EDGEWOOD SUBDIVISI","","09-09-32-206-008","905 EDGEWOOD PL","","Ann Arbor","48103","waterproofing basement walls","(11/18/2020 11:30 PM CHH2)
needs cost of job.

(11/19/2020 10:53 AM CHH2)
$12,500 per convo with Ruth-Ann","12500","359","359","Yadlosky William","-83.75443","42.27015"
"BLDG20-2134","2020-11-13 00:00:00","2020-11-24 00:00:00","2020-12-07 00:00:00","","2021-07-11 00:00:00","","","BUILDING","RES ADD/ALTER","ISSUED","R1B","","NATURE COVE","","09-12-03-208-102","2126 CRESTLAND DR","","Ann Arbor","48104","Finish basement - livingroom- rough bath-laundry","(11/24/2020 10:24 AM JHY)
emailed approval and for payment. Once rcvd, permit can be issued

(1/26/2021 6:02 PM JHY)
emailed approved revision site copy and balance due","38841","732","732","Finished Basements Plus LLC","-83.71763","42.25529"
"BLDG20-2135","2020-11-13 00:00:00","2020-12-06 00:00:00","2020-12-06 00:00:00","","2021-06-04 00:00:00","","","BUILDING","RES ADD/ALTER","ISSUED","R1C","","SMOKLER HUTZEL SUB","","09-12-04-406-012","1510 KING GEORGE BLVD","","Ann Arbor","48104","Demo &  new drywall in kitchen ceiling","(11/16/2020 3:30 PM HH2)
Reg received.","5000","219","219","Certainty Construction LLC","-83.72302","42.2484"
"MECH20-2782","2020-11-13 00:00:00","2020-11-16 00:00:00","2020-11-16 00:00:00","","2021-05-15 00:00:00","","","MECHANICAL","MECHANICAL","ISSUED","O","","BOULEVARD HEIGHTS","","09-09-30-211-001","2311 SHELBY AVE","","Ann Arbor","48103","REPLACE FURNACE & AC","","0","155","155","CMR MECHANICAL LLC","-83.77862","42.27844"
"MECH20-2783","2020-11-13 00:00:00","2020-11-13 00:00:00","2020-11-13 00:00:00","2021-02-17 00:00:00","","","","MECHANICAL","MECHANICAL","FINALED","R4A","","","","09-09-10-402-152","3268 HAYSTER DR","","ANN ARBOR","48105","PRE FAB FIREPLACE","","0","135","135","Williams Distributing Co","",""
"MECH20-2784","2020-11-13 00:00:00","2020-11-13 00:00:00","2020-11-13 00:00:00","","2021-05-31 00:00:00","","","MECHANICAL","MECHANICAL","ISSUED","R4A","","","","09-09-10-402-151","3270 HAYSTER DR","","ANN ARBOR","48105","PRE FAB FIREPLACE","","0","135","135","Williams Distributing Co","",""
"MECH20-2785","2020-11-13 00:00:00","2021-01-29 00:00:00","2021-01-29 00:00:00","","2021-07-28 00:00:00","","","MECHANICAL","MECHANICAL","ISSUED","R3","","","","09-09-26-204-098","682 PENINSULA CT","","Ann Arbor","48105","INSTALL DRYER VENT","","0","65","65","Lakeside Service Co., Inc","",""
"MECH20-2786","2020-11-13 00:00:00","2020-11-13 00:00:00","2020-11-13 00:00:00","2020-12-18 00:00:00","","","","MECHANICAL","MECHANICAL","FINALED","R4A","","","","09-08-24-104-042","2557 MILLER AVE","","ANN ARBOR","48103","Replace Water Heater","","0","65","65","Haley Mechanical","-83.78184","42.29446"
"ROW20-1489","2020-11-13 00:00:00","2020-11-13 00:00:00","2020-12-01 00:00:00","","2021-12-01 00:00:00","","","RIGHT OF WAY","CABLE (NON-METRO ACT)","ISSUED","","","BROWN & BACH ADD.","","09-09-32-113-012","912 BROWN ST","","Ann Arbor","48104","Underground installation of coaxial cable","(11/13/2020 11:19 AM MB)
sent to Eng to review.

(11/16/2020 8:25 AM TK)
emailed payment cover sheet","0","196","196","COMCAST","-83.74915","42.26983"
"ROW20-1490","2020-11-13 00:00:00","2020-11-09 00:00:00","2020-11-16 00:00:00","","2021-11-18 00:00:00","","","RIGHT OF WAY","SERVICE LEAD","ISSUED","","","BROWN'S 2ND ADD","","09-09-32-229-003","616 PAULINE BLVD","","Ann Arbor","48103","Pipe burst sewer line replacement from house to sewer main","","0","405","405","Tanner Patrick","-83.75518","42.26873"
"SIGN20-0084","2020-11-13 00:00:00","2020-11-17 00:00:00","","","","","","SIGN","SIGN","APPROVED","D1","","ANN ARBOR LAND COM","GO BLOW","09-09-29-406-003","335 S MAIN ST","","Ann Arbor","48104","GO BLOW - Applying vinyl script logo to both sides of sign","","0","100","0","Allegra","-83.74832","42.27842"
"SOIL20-0176","2020-11-13 00:00:00","2020-11-20 00:00:00","2020-12-02 00:00:00","","2021-05-31 00:00:00","","DEMO20-0028","SOIL EROSION","DEMOLITION","ISSUED","","","ASSESSOR'S PLAT NO","","09-09-21-215-008","714 INDIANOLA DR","","Ann Arbor","48105","Demo garage 598 sf-remove driveway-backfill, grade & seed","(11/30/2020 2:26 PM JHY)
emailed for payment, once rcvd, both BLDG and SOIL can be issued","0","350","350","K T Demolition","-83.73795","42.29612"
"SOIL20-0177","2020-11-13 00:00:00","","","","","","BLDG20-2128","SOIL EROSION","RESIDENTIAL","ON HOLD","","","","","09-09-33-117-010","1909 NORWAY RD","","Ann Arbor","48104","Construct single family home - 6300sf","","0","550","0","","",""
"TCP20-0994","2020-11-13 00:00:00","2020-11-17 00:00:00","2020-11-17 00:00:00","","2020-12-07 00:00:00","","ROW20-1317","TRAFFIC CONTROL","LANE CLOSURE","EXPIRED","","","HILL'S ADDITION","","09-09-33-223-020","1208 OAKLAND AVE","","Ann Arbor","48104","Sanitary sewer inspection, Residential Street","(11/16/2020 2:08 PM BN)
NO FEES CITY PROJECT- 2020 Sewer Televising and Cleaning- RON HOEFT

(11/17/2020 11:31 AM MB)
JE 2021-3981","1","38.75","38.75","TAPLIN ENTERPRISES, LLC","-83.73396","42.27006"
"TCP20-0995","2020-11-13 00:00:00","2020-11-17 00:00:00","2020-11-17 00:00:00","","2020-12-07 00:00:00","","ROW20-1317","TRAFFIC CONTROL","LANE CLOSURE","EXPIRED","","","OLIVIA B. HALL SUB","","09-09-33-224-010","1305 CAMBRIDGE RD","","Ann Arbor","48104","Sanitary sewer inspection, Residential Street","(11/17/2020 11:31 AM MB)
JE 2021-3981","1","38.75","38.75","TAPLIN ENTERPRISES, LLC","-83.73293","42.26977"
"ZCOM20-0318","2020-11-13 00:00:00","2020-11-13 00:00:00","2020-11-30 00:00:00","","","","","ZONING COMPLIANCE","FENCE","ISSUED","R4C","","BROWN'S 2ND ADD","","09-09-32-229-025","1014 S MAIN ST","","Ann Arbor","48104","4' tall fence; 30" at corner/intersection","(11/15/2020 9:50 PM CHH2)
emailed for payment. Issue permit once received","0","75","75","Canopy Landscapes","-83.75067","42.26874"
"TCP20-0996","2020-11-15 00:00:00","2020-11-17 00:00:00","2020-11-17 00:00:00","","2020-11-18 00:00:00","","AROW19-0009","TRAFFIC CONTROL","LANE CLOSURE","EXPIRED","","","","","09-09-21-305-002","982 BROADWAY ST","","Ann Arbor","48105","Emergency Cable Splicing in Intersection of Broadway & Swift","(11/16/2020 1:55 PM BN)
Please Bill DTE- Electric","0","38.75","38.75","DTE - EDWIN STULL","-83.73862","42.28796"
"PLUM20-2218","2020-11-15 00:00:00","2020-11-15 00:00:00","2020-11-15 00:00:00","2020-12-14 00:00:00","","","","PLUMBING","PLUMBING","FINALED","R1C","","HURON HIGHLANDS","","09-09-16-308-013","352 MANOR DR","","Ann Arbor","48105","Replace water heater","","0","65","65","Hoover Electric Inc","-83.73982","42.30488"
"BLDG20-2136","2020-11-15 00:00:00","2020-11-15 00:00:00","2020-11-15 00:00:00","","2021-05-14 00:00:00","","","BUILDING","RES OTC","ISSUED","R1B","","WASHTENAW HILLS ES","","09-09-35-400-028","1391 CREEKBEND CT","","Ann Arbor","48105","Install 6 replacement vinyl windows","","5507","175","175","Wallside Inc dba Wallside Window","-83.68708","42.26284"
"BLDG20-2137","2020-11-15 00:00:00","2020-11-15 00:00:00","2020-11-15 00:00:00","","2021-05-14 00:00:00","","","BUILDING","RES OTC","ISSUED","R1C","","SMOKLER HUTZEL SUB","","09-12-09-102-053","3225 LOCKRIDGE DR","","Ann Arbor","48108","Install 1 replacement vinyl window","","640","115","115","Wallside Inc dba Wallside Window","-83.7233","42.24307"
"BLDG20-2138","2020-11-15 00:00:00","2020-11-15 00:00:00","2020-11-15 00:00:00","","2021-05-14 00:00:00","","","BUILDING","RES OTC","ISSUED","R1C","","NORTH CAMPUS HEIGH","","09-09-15-406-015","2435 PRAIRIE ST","","Ann Arbor","48105","Replace 3 windows same for same","","3281","155","155","George Meyer Co LLC","-83.70352","42.30822"
"BLDG20-2139","2020-11-15 00:00:00","2020-11-15 00:00:00","2020-11-15 00:00:00","2021-01-05 00:00:00","","","","BUILDING","RES OTC","FINALED","R1C","","FOREST HILLS SUB.","","09-09-14-205-004","2456 ANTIETAM DR","","Ann Arbor","48105","Replace 1 entry door - same for same","","2429","145","145","George Meyer Co LLC","-83.70049","42.31124"
"BLDG20-2140","2020-11-15 00:00:00","2020-11-15 00:00:00","2020-11-15 00:00:00","","2021-05-14 00:00:00","","","BUILDING","RES OTC","ISSUED","R1D","","WILDWOOD PARK ADDI","","09-09-30-125-004","1518 HARBROOKE AVE","","Ann Arbor","48103","Replace8 windows same for same","","12510","245","245","RBA of Minnesota - Renewal by Andersen","-83.76721","42.28541"
"BLDG20-2141","2020-11-16 00:00:00","2020-12-21 00:00:00","2020-12-21 00:00:00","","2021-06-19 00:00:00","","","BUILDING","RES OTC","ISSUED","R3","","EARHART SUBDIVISIO","","09-09-25-201-036","863 GREENHILLS DR","","Ann Arbor","48105","Replace patio door - same for same","","3600","155","155","Adkins Kyle Wesley","-83.68113","42.28624"
"BLDG20-2142","2020-11-16 00:00:00","2020-12-08 00:00:00","2020-12-09 00:00:00","2020-12-10 00:00:00","","","","BUILDING","RES ADD/ALTER","FINALED","PUD","","","","09-09-18-304-008","1840 TIMBER TRL","","Ann Arbor","48103","replace garage header","(12/8/2020 9:44 AM JHY)
emailed for payment, once rcvd, permit can be issued","1631","313","313","Paul Davis Restoration of Washtenaw Coun","-83.77311","42.3022"
"BLDG20-2145","2020-11-16 00:00:00","2020-12-09 00:00:00","2020-12-09 00:00:00","2021-01-28 00:00:00","","","","BUILDING","RES ADD/ALTER","FINALED","R1C","","VALLEY PARK","","09-09-21-100-003","1904 TRAVER RD","","Ann Arbor","48105","Remove sunroom and replace with sundeck","(12/9/2020 11:08 AM JHY)
emailed approval - permit issued","11120","347","347","Dexter Builders","-83.72844","42.30059"
"BLDG20-2146","2020-11-16 00:00:00","2020-12-06 00:00:00","2021-01-04 00:00:00","","2021-07-20 00:00:00","","","BUILDING","SIGN","ISSUED","C3","","ASSESSOR'S PLAT NO","MICHIGAN SUPPLY & PROVISIONS","09-09-31-208-028","2019 W STADIUM BLVD","","Ann Arbor","48103","MICHIGAN SUPPLY - 1 illuminated raceway mounted sign","(12/6/2020 6:23 PM CHH2)
Emailed for payment- may issue once rec'd - also sign & elec","7250","231","231","Johnson Sign Co","-83.7742","42.26959"
"BLDG20-2147","2020-11-16 00:00:00","2020-12-03 00:00:00","2020-12-03 00:00:00","2021-02-19 00:00:00","","","","BUILDING","RES ADD/ALTER","FINALED","R1B","","WASHTENAW HILLS ES","","09-09-35-403-006","1809 MEADOWSIDE DR","","Ann Arbor","48104","Replace deck floor and railing","(12/3/2020 6:02 PM JHY)
emailed approval-permit issued","21200","467","467","Deck Details Inc","-83.68834","42.25923"
"BLDG20-2150","2020-11-16 00:00:00","2020-11-27 00:00:00","2021-01-04 00:00:00","","2021-07-12 00:00:00","","","BUILDING","RES ADD/ALTER","ISSUED","R1C","","SUNNYSIDE","","09-09-31-415-009","1521 GRANADA AVE","","Ann Arbor","48103","Remodel and finish basemnt space","(11/16/2020 4:01 PM HH2)
App rec'd 11-6-2020

(12/21/2020 10:40 AM CHH2)
emailed for payment - issue once rec'd","25000","503","503","BOEHNKE KEVIN & PIERCE ELIZABETH A","-83.76944","42.26142"
"BLDG20-2152","2020-11-16 00:00:00","2020-12-03 00:00:00","2020-12-03 00:00:00","2021-02-16 00:00:00","","","","BUILDING","RES ADD/ALTER","FINALED","R1C","","LAKE WOOD SUBDIVIS","","09-08-25-208-004","319 GRALAKE AVE","","Ann Arbor","48103","Basement finish, add bathroom w/ shower","(12/3/2020 6:29 PM JHY)
emailed approval - permit issued","21000","455","455","Glenn Quality Construction Co","-83.79026","42.27856"
"ELEC20-3081","2020-11-16 00:00:00","2020-11-16 00:00:00","2020-11-16 00:00:00","2020-12-02 00:00:00","","","","ELECTRICAL","ELECTRICAL","FINALED","R3","","","","09-09-26-204-230","721 WATERSEDGE DR","","Ann Arbor","48105","Water heater reconnect","","0","75","75","SHEPPARD MICHAEL & JANA","",""
"ELEC20-3082","2020-11-16 00:00:00","2020-11-16 00:00:00","2020-11-16 00:00:00","","2021-06-04 00:00:00","","BLDG20-0623","ELECTRICAL","ELECTRICAL","ISSUED","","","","","09-09-18-303-002","1607 NEWPORT CREEK DR","","Ann Arbor","48103","Addition (174sf footprint)-elevator and master bath remodel","","0","122","122","Snider Electric LLC","-83.77128","42.30474"
"ELEC20-3083","2020-11-16 00:00:00","2020-11-16 00:00:00","2020-11-16 00:00:00","","2021-05-15 00:00:00","HDC19-023","BLDG20-0553","ELECTRICAL","ELECTRICAL","ISSUED","","","JEWETTS ADD.","","09-09-29-208-002","834 W WASHINGTON ST","","Ann Arbor","48103","Rewire House as Needed including new basement and service","","0","285","285","Snider Electric LLC","-83.75816","42.28106"
"ELEC20-3084","2020-11-16 00:00:00","2020-11-17 00:00:00","2020-11-17 00:00:00","2020-12-08 00:00:00","","","","ELECTRICAL","ELECTRICAL","FINALED","R3","","","","09-08-36-400-006","1449 GENEVA RD","","ANN ARBOR","48103","INSTALLATION OF WATER HEATER","","0","75","75","Al's Water Heater","-83.78162","42.26207"
